system:index,date,precipitation,.geo
20240801,2024-08-01,0.5946525123554103,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240802,2024-08-02,1.1564667601953742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240803,2024-08-03,0.8841899470090716,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240804,2024-08-04,1.4422187470579064,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240805,2024-08-05,1.1692766025475314,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240806,2024-08-06,0.7475714864902295,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240807,2024-08-07,0.7087704772430214,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240808,2024-08-08,0.5800446965668589,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240809,2024-08-09,2.0202680847959726,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240810,2024-08-10,1.30627207079959,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240811,2024-08-11,3.288717773117692,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240812,2024-08-12,2.170133268048951,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240813,2024-08-13,0.6591270158952265,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240814,2024-08-14,1.5257041960795108,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240815,2024-08-15,2.178571437275936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240816,2024-08-16,0.5857073005420859,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240817,2024-08-17,0.746539170323841,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240818,2024-08-18,0.4247960762573237,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240819,2024-08-19,0.27928324970466706,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240820,2024-08-20,0.6082134665375336,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240821,2024-08-21,1.5491907064401111,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240822,2024-08-22,0.7402700065692083,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240823,2024-08-23,1.8161437854546703,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240824,2024-08-24,1.1010047838848294,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240825,2024-08-25,1.1326594152779434,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240826,2024-08-26,2.648279188886389,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240827,2024-08-27,1.8215921225224188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240828,2024-08-28,3.5789027883405047,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240829,2024-08-29,2.526768358164893,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240830,2024-08-30,1.4354199641583028,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240831,2024-08-31,1.2989260292361269,"{""type"":""MultiPoint"",""coordinates"":[]}"
